session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
61522bf9f7d7099fd9069755,masked_for_anonoymity,APPROVED,2021-09-27T20:39:48.884Z,2021-09-27T21:18:17.054Z,2308.17,39,77,0,100,2021-09-28T11:09:10.330Z,807F37DE,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
61522c006dd5e508adc48a17,masked_for_anonoymity,APPROVED,2021-09-27T20:39:30.578Z,2021-09-27T21:06:23.541Z,1612.963,23,239,0,100,2021-09-28T11:09:10.420Z,807F37DE,United Kingdom,United Kingdom,Unemployed (and job seeking),English,United Kingdom,Female,No
61522c09fed894996b0aedc9,masked_for_anonoymity,APPROVED,2021-09-27T20:39:45.618Z,2021-09-27T21:13:38.061Z,2032.443,34,37,0,100,2021-09-28T11:09:10.488Z,807F37DE,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
61522c0f675795cb41de5c9f,masked_for_anonoymity,APPROVED,2021-09-27T20:39:46.637Z,2021-09-27T21:12:24.959Z,1958.322,35,57,1,100,2021-09-28T11:09:10.594Z,807F37DE,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No
61522c1b363b77f693914fc1,masked_for_anonoymity,APPROVED,2021-09-27T20:40:01.225Z,2021-09-27T21:41:47.483Z,3706.258,45,40,0,100,2021-09-28T11:09:10.680Z,807F37DE,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No
61522c2c5f6393c662c8f50c,masked_for_anonoymity,APPROVED,2021-09-27T20:40:15.126Z,2021-09-27T21:14:16.700Z,2041.574,25,62,0,100,2021-09-28T11:09:10.778Z,807F37DE,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
61522c33c67ad52ef4249c9d,masked_for_anonoymity,APPROVED,2021-09-27T20:40:24.620Z,2021-09-27T21:15:19.979Z,2095.359,30,37,1,99,2021-09-28T11:09:10.852Z,807F37DE,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No
61522c522eee1d15a59efa03,masked_for_anonoymity,APPROVED,2021-09-27T20:40:52.540Z,2021-09-27T21:14:33.914Z,2021.374,39,103,1,100,2021-09-28T11:09:10.922Z,807F37DE,United States,United Kingdom,Part-Time,English,United Kingdom,Male,No
61522c71e5494a545bcbdeb2,masked_for_anonoymity,APPROVED,2021-09-27T20:41:25.718Z,2021-09-27T21:10:51.102Z,1765.384,37,69,0,100,2021-09-28T11:09:10.991Z,807F37DE,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No
61522c74e30dc4e497d820c6,masked_for_anonoymity,APPROVED,2021-09-27T20:41:27.171Z,2021-09-27T21:25:28.564Z,2641.393,31,25,0,100,2021-09-28T11:09:11.072Z,807F37DE,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Female,No
